file create
Rand omp
   Threads	       Result	          Avg	   Difference	 Acceleration
         1	      150.528	          150	     -0.52816	            1
         2	      150.528	          150	     -0.52816	      1.36296
         3	      150.608	          150	    -0.608046	      2.36518
         4	      150.428	          150	    -0.427542	      2.52174
         5	       150.48	          150	    -0.479998	      2.73807
         6	      150.426	          150	     -0.42636	      2.88158
         7	      150.472	          150	    -0.472338	      3.02157
         8	      150.531	          150	    -0.530568	      3.05603
         9	      150.468	          150	     -0.46831	      3.04045
        10	      150.504	          150	    -0.504236	       3.0963
        11	      150.514	          150	    -0.514138	      3.13258
        12	      150.411	          150	    -0.411152	      3.12774
        13	       150.44	          150	    -0.439774	      3.06949
        14	      150.539	          150	    -0.538868	      3.14104
        15	      150.509	          150	     -0.50884	       3.1256
        16	      150.449	          150	     -0.44855	      3.07464
        17	      150.491	          150	    -0.490852	      3.05456
        18	      150.517	          150	    -0.517002	      3.01352
        19	      150.502	          150	    -0.502014	      3.15202
        20	      150.393	          150	    -0.392822	      2.90667
        21	      150.472	          150	    -0.471508	      3.01038
        22	      150.525	          150	    -0.524822	      3.20611
        23	      150.577	          150	     -0.57692	      3.04123
        24	      150.459	          150	    -0.458606	      3.18204
        25	      150.524	          150	    -0.524384	      2.91439
        26	      150.527	          150	    -0.526624	      3.12541
        27	      150.557	          150	    -0.557124	      3.06921
        28	      150.573	          150	    -0.573034	      3.03571
        29	       150.47	          150	    -0.469972	      2.64805
        30	      150.414	          150	     -0.41359	       2.6327
        31	      150.414	          150	    -0.413768	      2.83644
        32	      150.333	          150	     -0.33324	      2.80772
        33	      150.588	          150	    -0.587718	      2.74964
        34	      150.549	          150	    -0.548538	      2.44338
        35	      150.557	          150	     -0.55696	      2.50179
        36	      150.497	          150	    -0.496558	      2.55151
        37	      150.435	          150	    -0.435288	      2.46521
        38	      150.457	          150	    -0.456696	      2.31693
        39	      150.515	          150	    -0.515088	      2.63089
        40	      150.415	          150	    -0.415028	      2.97382
        41	      150.483	          150	      -0.4827	       2.4351
        42	      150.383	          150	    -0.383224	      2.52006
        43	      150.483	          150	    -0.482682	      2.32159
        44	       150.39	          150	     -0.39024	      2.42778
        45	      150.552	          150	    -0.552458	      2.30549
        46	      150.514	          150	     -0.51437	      2.34118
        47	      150.537	          150	     -0.53704	      2.28854
        48	      150.522	          150	     -0.52216	      2.18729
